house,price,area
4 Bedroom Independent House in C Block Sushant Lok Phase - I,"₹ 4 - 4.6 Cr
₹ 10,233/sq.ft.","3,909-4,497 sq.ft.
(363-418 sq.m.) Built-up Area"
4 Bedroom Independent House in Sector 17 Faridabad,"₹ 1.37 Cr
₹ 5,490/sq.ft.","2,495 sq.ft.
(232 sq.m.) Built-up Area"
3 Bedroom Independent House in Sector ZETA Gr Noida,"₹ 1.65 - 2.91 Cr
₹ 5,490/sq.ft.","3,000-5,305 sq.ft.
(279-493 sq.m.) Built-up Area"
7 Bedroom Independent House in Malibu Town,"₹ 2.15 - 3.86 Cr
₹ 7,112/sq.ft.","3,023-5,427 sq.ft.
(281-504 sq.m.) Built-up Area"
9 Bedroom Independent House in Sector-38 Gurgaon,"₹ 6.24 - 16.33 Cr
₹ 19,809/sq.ft.","3,150-8,245 sq.ft.
(293-766 sq.m.) Built-up Area"
7 Bedroom Independent House in Naraina Vihar,"₹ 2.15 - 4.25 Cr
₹ 7,477/sq.ft.","3,023-5,427 sq.ft.
(281-504 sq.m.) Built-up Area"
15 Bedroom Independent House in Najafgarh,"₹ 3.15 - 6 Cr
₹ 8,174/sq.ft.","4,200-6,300 sq.ft.
(390-585 sq.m.) Built-up Area"
4 Bedroom Independent House in Sector-23A Gurgaon,"₹ 5 Cr
₹ 8,598/sq.ft.","5,815 sq.ft.
(540 sq.m.) Built-up Area"
12 Bedroom Independent House in Vasant Vihar,Price on Request,"5,036-7,330 sq.ft.
(468-681 sq.m.) Built-up Area"
,,0
4 Bedroom Independent House in Sector 1 Greater Noida West,"₹ 2.95 Cr
₹ 5,589/sq.ft.","5,100 sq.ft.
(474 sq.m.) Built-up Area"
9 Bedroom Independent House in B Block South City 1,"₹ 27 Cr
₹ 30,000/sq.ft.","9,000 sq.ft.
(836 sq.m.) Plot Area"
5 Bedroom Independent House in Sector-111 Gurgaon,"₹ 2.16 - 3.88 Cr
₹ 7,150/sq.ft.","3,023-5,427 sq.ft.
(281-504 sq.m.) Built-up Area"
4 Bedroom Independent House in Sector-72 Gurgaon,"₹ 1.98 - 5.29 Cr
₹ 8,400/sq.ft.","2,359-6,300 sq.ft.
(219-585 sq.m.) Built-up Area"
4 Bedroom Independent House in Sector-66 Gurgaon,"₹ 1.05 - 1.48 Cr
₹ 4,650/sq.ft.","2,452-3,008 sq.ft.
(228-279 sq.m.) Built-up Area"
